guidance_no,title,pub_date,mod_date
TA563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",2019-02-27,2022-12-05
TA810,"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence ",2022-07-20,2022-12-05
TA725,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",2021-09-15,2022-12-05
TA34,Guidance on the use of trastuzumab for the treatment of advanced breast cancer,2002-03-15,2022-12-05
TA257,Lapatinib or trastuzumab in combination with an aromatase inhibitor for the first-line treatment of metastatic hormone-receptor-positive breast cancer that overexpresses HER2,2012-06-27,2022-12-05
TA612,"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab",2019-11-20,2022-12-05
TA495,"Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",2017-12-20,2022-12-05
TA836,"Palbociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",2022-10-26,2022-12-05
TA766,Pembrolizumab for adjuvant treatment of completely resected stage 3 melanoma ,2022-02-02,2022-12-05
TA830,Pembrolizumab for adjuvant treatment of renal cell carcinoma,2022-10-19,2022-12-05
TA837,Pembrolizumab for adjuvant treatment of resected stage 2B or 2C melanoma,2022-10-26,2022-12-05
TA366,Pembrolizumab for advanced melanoma not previously treated with ipilimumab,2015-11-25,2022-12-05
TA851,Pembrolizumab for neoadjuvant and adjuvant treatment of triple-negative early or locally advanced breast cancer,2022-12-14,2022-12-14
TA357,Pembrolizumab for treating advanced melanoma after disease progression with ipilimumab,2015-10-07,2022-12-05
TA692,Pembrolizumab for treating locally advanced or metastatic urothelial carcinoma after platinum-containing chemotherapy,2021-04-28,2022-12-05
TA428,Pembrolizumab for treating PD-L1-positive non-small-cell lung cancer after chemotherapy,2017-01-11,2022-12-05
TA540,Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma,2018-09-03,2022-12-12
TA772,Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma after stem cell transplant or at least 2 previous therapies,2022-02-23,2022-12-05
TA709,Pembrolizumab for untreated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,2021-06-23,2022-12-05
TA661,Pembrolizumab for untreated metastatic or unresectable recurrent head and neck squamous cell carcinoma,2020-11-25,2022-12-05
TA531,Pembrolizumab for untreated PD-L1-positive metastatic non-small-cell lung cancer,2018-07-18,2022-12-12
TA801,"Pembrolizumab plus chemotherapy for untreated, triple-negative, locally recurrent unresectable or metastatic breast cancer",2022-06-29,2022-12-05
TA650,Pembrolizumab with axitinib for untreated advanced renal cell carcinoma,2020-09-30,2022-12-05
TA770,Pembrolizumab with carboplatin and paclitaxel for untreated metastatic squamous non-small-cell lung cancer ,2022-02-09,2022-12-05
TA683,"Pembrolizumab with pemetrexed and platinum chemotherapy for untreated, metastatic, non-squamous non-small-cell lung cancer",2021-03-10,2022-12-05
TA737,Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced oesophageal and gastro-oesophageal junction cancer,2021-10-20,2022-12-05
TA509,Pertuzumab with trastuzumab and docetaxel for treating HER2-positive breast cancer,2018-03-07,2022-12-09
TA496,"Ribociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",2017-12-20,2022-12-05
TA687,"Ribociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",2021-03-31,2022-12-05
TA704,Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 2 or more anti-HER2 therapies,2021-05-26,2022-12-05
TA632,Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,2020-06-10,2022-12-05
TA458,Trastuzumab emtansine for treating HER2-positive advanced breast cancer after trastuzumab and a taxane,2017-07-19,2022-12-05
TA208,Trastuzumab for the treatment of HER2-positive metastatic gastric cancer,2010-11-24,2022-12-05
TA786,Tucatinib with trastuzumab and capecitabine for treating HER2-positive advanced breast cancer after 2 or more anti-HER2 therapies ,2022-04-27,2022-12-05
