guidance_no,title,pub_date,mod_date
TA563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",2019-02-27,2022-12-05
TA810,"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence ",2022-07-20,2022-12-05
TA725,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",2021-09-15,2022-12-05
TA34,Guidance on the use of trastuzumab for the treatment of advanced breast cancer,2002-03-15,2022-12-05
TA257,Lapatinib or trastuzumab in combination with an aromatase inhibitor for the first-line treatment of metastatic hormone-receptor-positive breast cancer that overexpresses HER2,2012-06-27,2022-12-05
TA612,"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab",2019-11-20,2022-12-05
TA495,"Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",2017-12-20,2022-12-05
TA836,"Palbociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",2022-10-26,2022-12-05
TA509,Pertuzumab with trastuzumab and docetaxel for treating HER2-positive breast cancer,2018-03-07,2022-12-09
TA496,"Ribociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",2017-12-20,2022-12-05
TA687,"Ribociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",2021-03-31,2022-12-05
TA704,Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 2 or more anti-HER2 therapies,2021-05-26,2022-12-05
TA632,Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,2020-06-10,2022-12-05
TA458,Trastuzumab emtansine for treating HER2-positive advanced breast cancer after trastuzumab and a taxane,2017-07-19,2022-12-05
TA208,Trastuzumab for the treatment of HER2-positive metastatic gastric cancer,2010-11-24,2022-12-05
TA786,Tucatinib with trastuzumab and capecitabine for treating HER2-positive advanced breast cancer after 2 or more anti-HER2 therapies ,2022-04-27,2022-12-05
